COD_MUNICIPIO_RES_7,ANIO_REGISTRO,MES_REGISTRO,TEMPERATURA,HUMEDAD_RELATIVA
1100064,2015,1,24.749,98.758
1100106,2005,1,25.07,97.258
1100130,2012,7,25.49,75.766
1100130,2014,5,25.776,98.556
1100205,2015,3,26.165,99.411
1100288,2004,2,22.936,93.043
1100320,2004,3,23.959,98.226
1100338,2013,11,25.099,97.175
1101401,2011,4,24.49,97.425
1200104,2004,6,24.812,78.958
1200203,2014,5,25.855,94.903
1200302,2004,9,28.288,76.025
1200302,2011,2,26.525,97.089
1200328,2008,4,25.92,98.233
1200351,2012,6,25.147,98.183
1200427,2004,12,26.351,90.758
1300144,2008,3,24.738,99.177
1300201,2009,6,25.598,99.392
1300409,2004,3,25.784,99.597
1300409,2005,1,26.183,96.548
1300409,2008,4,25.664,98.108
1300508,2004,4,25.738,100.592
1300508,2009,4,25.385,100.442
1300607,2009,3,26.158,99.137
1300607,2009,10,26.531,97.484
1300706,2004,1,24.668,97.073
1300839,2005,1,26.842,99.137
1300839,2005,4,26.857,98.892
1301001,2009,1,27.057,84.702
1301001,2014,3,27.412,84.266
1301100,2003,10,25.823,96.129
1301100,2004,12,26.136,95.419
1301407,2006,10,25.061,89.0
1301407,2007,9,24.18,86.783
1301407,2015,9,25.378,86.05
1301506,2007,4,24.046,97.492
1301506,2008,2,23.324,92.397
1301506,2012,12,24.701,94.879
1301654,2003,1,26.077,92.976
1301654,2010,11,25.754,92.167
1301654,2013,9,26.86,85.45
1301704,2012,7,25.418,82.597
1302207,2014,8,24.502,95.339
1302405,2014,6,26.118,90.575
1302405,2014,11,26.815,93.833
1302603,2005,3,26.213,99.387
1302702,2008,7,25.916,89.992
1302702,2011,4,25.664,99.5
1302702,2013,6,25.499,95.342
1302801,2007,6,24.754,96.433
1303106,2004,11,26.274,95.792
1303106,2008,6,25.564,93.108
1303205,2013,1,26.719,99.282
1303502,2014,2,24.795,98.759
1303536,2007,5,25.952,98.492
1303601,2014,2,25.036,99.196
1303809,2010,3,25.683,95.694
1303908,2007,1,26.555,98.234
1303908,2013,6,25.916,99.35
1303957,2011,7,25.13,94.403
1304203,2010,5,24.912,99.081
1304203,2015,10,25.703,95.895
1304260,2015,2,24.861,98.071
1400100,2014,12,25.094,90.282
1400175,2012,3,24.698,93.694
1400233,2015,11,25.418,93.958
1400407,2005,11,23.809,95.792
1400472,2010,11,24.86,98.108
1400506,2014,12,24.842,98.444
1400704,2007,2,26.361,72.411
1400704,2009,7,23.36,95.419
1500107,2012,11,30.106,75.333
1500701,2007,6,25.914,88.708
1500909,2009,1,25.923,91.863
1500909,2013,4,26.406,91.808
1501105,2005,7,25.683,89.226
1501105,2010,7,26.07,95.411
1501105,2014,10,28.1,85.613
1501204,2009,1,25.222,98.589
1501501,2008,11,27.733,83.692
1501782,2004,4,25.495,99.392
1501782,2007,4,25.629,98.658
1501808,2004,6,25.34,93.633
1501907,2005,11,29.214,72.7
1502103,2006,7,25.002,88.734
1502756,2007,6,25.073,96.083
1502756,2007,10,26.254,77.798
1502806,2011,5,26.139,97.984
1503093,2004,1,25.178,99.661
1503606,2014,9,25.853,93.017
1503705,2009,5,24.828,99.742
1503705,2014,1,24.719,100.194
1503705,2014,4,25.214,99.917
1503804,2003,6,25.087,92.517
1504000,2006,5,25.85,95.968
1504000,2013,6,26.092,95.067
1504000,2015,3,25.927,98.815
1504422,2004,10,28.15,71.863
1504422,2013,9,26.506,93.292
1505031,2004,4,25.273,99.2
1505031,2005,6,25.257,80.283
1505486,2011,6,25.382,92.383
1505502,2011,3,25.448,99.097
1505536,2005,12,25.082,97.371
1505809,2012,3,25.409,98.839
1505908,2015,1,24.913,98.089
1506005,2009,9,26.403,89.45
1506708,2009,7,26.673,50.371
1507151,2015,6,25.181,92.525
1507300,2008,11,24.617,98.642
1507458,2004,3,24.905,96.653
1508001,2014,6,25.508,100.625
1600154,2006,6,24.48,98.642
1600303,2009,10,29.689,69.903
1600501,2010,11,27.404,86.875
1600535,2007,10,26.048,97.613
1600600,2005,4,26.023,94.508
1703206,2010,8,29.214,39.081
1703206,2010,9,31.666,34.483
1703206,2015,2,24.712,99.884
1709500,2014,1,23.937,93.669
2100055,2009,11,26.822,87.717
2101251,2008,1,25.878,91.218
2101251,2012,9,29.676,69.658
2101608,2013,12,25.681,93.323
2101772,2004,12,29.582,69.484
2101772,2008,3,26.093,93.976
2102150,2009,11,28.725,69.308
2103000,2008,3,25.708,96.718
2105104,2010,2,26.943,91.759
2105104,2011,6,26.424,88.658
2105104,2011,9,30.593,69.675
2105302,2012,9,28.058,70.775
2105401,2012,3,25.97,91.968
2105427,2013,6,24.632,96.117
2105450,2003,8,28.702,52.411
2105450,2008,7,26.694,57.685
2106326,2005,4,25.73,92.4
2107506,2007,12,25.999,89.742
2107605,2006,10,31.602,62.484
2107605,2010,10,31.4,63.815
2107605,2014,2,25.991,94.714
2108207,2006,11,28.014,75.825
2108207,2010,12,25.642,94.968
2110302,2012,10,30.506,56.863
2111300,2007,1,26.304,86.984
2112308,2008,1,25.279,98.645
2113009,2003,8,28.392,52.411
2203701,2003,7,26.819,57.411
2203701,2009,9,31.758,50.642
2211001,2009,4,25.876,97.65
2301109,2008,1,28.07,78.524
2400208,2007,4,27.137,88.733
2400208,2014,8,28.317,72.145
2403251,2008,1,26.821,84.435
2403251,2010,5,25.867,88.742
2504009,2003,4,25.297,94.6
2600054,2014,3,24.757,94.629
2609600,2004,1,26.198,88.177
2609600,2014,1,25.565,86.121
2700300,2013,4,26.163,90.642
2801207,2006,2,27.816,78.107
2801207,2006,9,24.926,83.483
2917201,2010,11,24.69,81.617
2917201,2013,12,23.433,92.387
2920452,2008,1,24.725,91.371
2931301,2008,1,25.297,72.169
3102001,2003,4,20.176,91.617
3102605,2013,9,21.383,67.692
3105608,2015,8,21.898,54.54
3106705,2006,5,17.658,77.677
3109006,2015,2,20.979,95.866
3109709,2007,6,17.346,76.908
3109709,2009,11,22.31,95.642
3115300,2007,11,22.219,92.125
3121605,2003,7,19.177,72.782
3121605,2011,7,19.375,75.476
3131703,2003,12,22.287,96.823
3133808,2012,8,19.248,60.169
3136702,2010,1,24.072,92.734
3147402,2004,9,23.153,47.883
3147402,2004,10,22.001,72.145
3147402,2007,3,20.888,88.976
3154606,2013,11,20.317,93.308
3154606,2015,2,20.979,95.866
3167202,2007,2,20.915,95.08
3170404,2015,12,23.545,95.169
3200607,2008,6,-1032300282.255,88.092
3200607,2012,1,-1031226088.413,92.621
3204906,2004,2,-999000273.15,88.388
3204906,2005,6,-1032300282.255,88.75
3204906,2014,8,-1031226088.413,84.831
3303906,2009,10,21.845,95.363
3304409,2007,6,17.346,76.908
3304557,2003,1,-1031226088.413,95.669
3305752,2010,8,20.284,80.177
3501608,2006,3,21.223,97.524
3501608,2010,8,18.383,62.855
3501608,2011,6,15.697,81.542
3502804,2006,8,22.697,44.065
3506003,2005,5,19.642,77.621
3506003,2005,6,18.775,74.992
3525904,2007,4,21.803,96.95
3525904,2007,9,21.73,61.942
3525904,2009,12,23.027,98.202
3526407,2010,7,18.415,77.629
3535309,2007,8,22.622,60.226
3535309,2011,1,24.586,96.395
3549102,2009,2,22.145,97.714
3550308,2006,7,18.888,70.306
3555406,2009,3,-1031226088.413,96.911
3557105,2005,1,25.038,95.847
4105904,2007,4,23.364,91.233
4105904,2013,5,21.264,85.903
4106902,2005,1,22.307,97.79
4108304,2003,2,24.03,96.438
4108304,2011,12,22.79,81.411
4112504,2010,2,23.741,93.33
4115200,2009,7,16.323,90.145
4117909,2004,10,22.141,86.331
4117909,2011,10,23.328,84.218
4121257,2012,8,20.225,70.5
4204905,2013,3,21.128,95.653
4204905,2015,2,23.461,95.696
4304705,2010,6,13.04,90.708
4310108,2003,2,23.836,91.357
4314902,2005,5,18.045,90.347
4316600,2006,7,14.238,85.226
4318705,2003,8,13.647,86.444
5008305,2004,7,20.273,62.831
5008305,2006,5,19.169,75.024
5008305,2013,2,24.567,92.464
5100201,2014,9,28.828,57.033
5100250,2013,6,25.634,74.95
5101852,2007,7,27.711,45.145
5101852,2009,3,25.46,97.185
5102504,2010,6,24.187,63.583
5102702,2011,4,24.361,96.167
5103254,2006,2,25.244,99.188
5103254,2015,3,25.096,99.097
5103304,2014,6,23.501,78.758
5103403,2008,7,24.975,42.04
5103403,2009,8,25.848,53.548
5104542,2015,4,24.06,99.217
5105150,2011,6,25.141,65.233
5105176,2005,7,26.914,46.476
5105580,2015,2,24.213,98.688
5106299,2015,7,26.332,66.629
5106422,2006,3,24.155,97.25
5107305,2010,3,25.126,98.508
5107602,2003,11,25.583,77.067
5107909,2012,11,24.569,95.008
5107909,2013,12,23.788,98.202
5108055,2009,4,24.161,98.833
5108055,2011,3,24.125,98.444
5204508,2004,3,22.317,94.016
5204508,2012,9,26.471,45.033
5208707,2013,12,22.896,97.145
1100031,2006,1,24.573,97.976
1100064,2012,1,24.547,100.992
1100064,2012,6,23.776,86.0
1100098,2014,7,23.625,65.476
1100106,2006,6,24.173,85.817
1100106,2013,9,25.478,86.908
1100122,2010,4,25.181,95.983
1100122,2015,8,27.812,69.871
1100130,2013,3,26.025,99.75
1100189,2003,12,24.547,98.54
1100304,2006,11,25.28,94.492
1100346,2013,11,24.933,92.067
1100601,2010,11,24.682,97.717
1100601,2015,9,25.984,91.475
1100809,2010,2,26.985,98.705
1100924,2014,4,24.773,99.758
1100924,2014,8,28.823,45.194
1101401,2010,1,25.023,99.823
1101708,2007,10,25.754,95.145
1200104,2004,4,25.193,95.1
1200302,2003,11,27.316,90.633
1200328,2014,4,25.936,99.35
1200328,2015,4,26.202,99.2
1200336,2014,12,26.022,94.629
1200393,2004,9,27.308,71.433
1200393,2014,8,25.801,84.75
1200500,2003,11,25.259,89.625
1200500,2008,6,22.382,90.342
1300029,2007,10,24.997,95.677
1300144,2010,6,25.247,90.833
1300144,2011,1,24.987,99.032
1300201,2015,11,27.009,98.358
1300300,2008,7,25.775,90.984
1300300,2014,6,26.118,95.117
1300508,2005,5,25.748,98.944
1300631,2005,8,26.205,88.573
1300706,2006,2,24.711,98.018
1300706,2012,8,24.728,86.815
1300805,2009,1,25.897,97.694
1300839,2003,8,26.032,93.379
1301001,2007,7,26.212,81.742
1301100,2011,5,26.049,96.185
1301209,2007,10,25.563,94.484
1301209,2009,3,24.934,99.976
1301506,2005,2,24.554,98.339
1301654,2015,4,25.685,95.475
1301704,2012,3,25.893,97.839
1301803,2015,10,25.645,88.468
1301852,2015,2,25.926,98.089
1301902,2005,5,25.495,98.944
1301902,2006,6,25.096,96.575
1302207,2010,3,25.303,97.524
1302603,2004,4,25.938,99.225
1302702,2013,1,26.142,98.306
1302702,2013,8,26.179,90.75
1303502,2006,7,24.026,88.524
1303601,2003,9,24.879,98.567
1303601,2006,1,24.988,97.565
1303601,2009,7,24.677,95.718
1303809,2012,11,25.841,96.292
1303809,2015,1,25.275,96.919
1303908,2014,11,26.81,98.65
1303957,2011,4,25.367,99.983
1304062,2007,10,26.332,97.435
1304203,2007,7,24.064,94.645
1304203,2014,1,24.666,99.024
1304260,2004,6,23.49,96.417
1400100,2014,1,25.577,85.605
1400100,2014,11,24.854,95.317
1400175,2004,11,24.55,96.658
1400175,2007,9,24.265,95.733
1400209,2009,7,24.685,96.508
1400209,2014,5,25.064,97.871
1400282,2004,2,23.138,88.948
1400282,2008,6,22.981,98.833
1400506,2012,12,24.665,98.96
1400506,2014,7,24.605,96.895
1500107,2005,1,25.924,97.605
1500107,2006,7,25.715,88.734
1500602,2004,12,25.397,95.266
1500602,2015,10,30.188,62.597
1500859,2004,7,24.857,94.113
1500909,2005,12,26.353,89.169
1500909,2007,10,29.107,78.524
1500909,2012,10,29.321,73.565
1501725,2004,7,24.67,96.621
1501725,2007,8,25.418,96.145
1501725,2015,6,25.462,96.042
1501782,2009,3,25.331,100.218
1501808,2006,5,25.687,95.968
1502103,2004,5,25.431,96.597
1502202,2006,8,28.913,74.29
1502400,2010,8,26.324,87.403
1502509,2015,7,26.016,86.637
1502707,2008,7,26.56,49.145
1502756,2015,10,30.969,60.508
1502806,2012,4,25.906,98.525
1503093,2011,10,25.73,96.524
1503606,2005,6,25.529,96.308
1503606,2007,8,26.502,84.742
1503606,2015,1,25.428,99.21
1504000,2010,7,26.277,95.411
1504208,2014,12,25.037,99.339
1504505,2011,3,25.581,98.782
1504505,2014,6,26.176,97.175
1504505,2014,11,30.603,75.317
1505031,2010,7,26.327,71.081
1505031,2015,6,25.258,86.642
1505064,2010,8,27.979,66.298
1505486,2008,4,25.088,99.792
1506005,2003,2,25.28,101.259
1506005,2011,2,24.766,100.25
1507102,2005,12,26.097,89.169
1507102,2009,3,25.763,93.661
1507102,2009,8,27.046,76.435
1507458,2003,10,27.619,53.677
1507458,2013,7,25.545,66.234
1507953,2004,4,25.495,99.392
1508001,2010,4,26.224,100.35
1600154,2011,12,25.51,90.0
1600279,2005,11,26.812,80.967
1600402,2011,12,26.368,90.0
1600501,2014,10,28.2,81.056
1600808,2014,3,25.172,100.863
1702109,2003,5,24.78,89.952
1702109,2004,9,30.398,33.95
1702109,2004,12,24.866,98.403
1705508,2009,8,29.935,46.403
